Date,Traded Companies,Stock Symbol,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,Sector
2021-05-23,Kalika power Company Ltd,KPCL,539,401.0,360.0,401.0,84154.0,32955147.0,365.0,36.0,Hydro Power
2021-05-23,Kamana Sewa Bikas Bank Limited,KSBBL,1845,417.0,373.0,417.0,474297.0,189977664.0,386.0,31.0,Development Banks
2021-05-23,Karnali Development Bank Limited,KRBL,761,286.0,245.0,286.0,182825.0,50191997.0,260.0,26.0,Development Banks
2021-05-23,Khanikhola Hydropower Co. Ltd.,KKHC,369,229.0,200.0,223.0,39132.0,8564299.0,219.0,4.0,Hydro Power
2021-05-23,Kisan Lagubitta Bittiya Sanstha Limited,KLBSL,48,1775.0,1710.0,1740.0,2781.0,4890118.0,1759.0,-19.0,Microfinance
2021-05-23,Kumari Bank Limited,KBL,1666,341.0,322.0,341.0,373970.0,125488068.0,334.0,7.0,Commercial Banks
2021-05-23,Kumari Equity Fund,KEF,75,10.05,9.85,9.85,69000.0,683256.7,9.89,-0.04,Mutual Fund
2021-05-23,Laxmi Bank Limited,LBL,1064,342.0,319.0,339.0,314870.0,104930729.0,329.0,10.0,Commercial Banks
2021-05-23,Laxmi Equity Fund,LEMF,8,11.9,11.85,11.9,20200.0,239815.0,11.88,0.02,Mutual Fund
2021-05-23,Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,123,2456.0,2407.0,2420.0,12266.0,29750827.0,2456.0,-36.0,Microfinance
2021-05-23,Laxmi Unnati Kosh,LUK,43,10.7,10.41,10.62,31500.0,334593.0,10.59,0.03,Mutual Fund
2021-05-23,Liberty Energy Company Limited,LEC,524,387.0,358.0,374.0,72646.0,26987423.0,372.0,2.0,Hydro Power
2021-05-23,Life Insurance Co. Nepal,LICN,74,2397.0,2299.0,2384.0,7359.0,17320005.0,2391.0,-7.0,Life Insurance
2021-05-23,Lumbini Bikas Bank Ltd.,LBBL,1077,353.0,310.0,346.0,291222.0,96547803.0,325.0,21.0,Development Banks
2021-05-23,Lumbini General Insurance Co. Ltd.,LGIL,470,829.0,802.0,824.0,62295.0,51121514.0,827.0,-3.0,Non Life Insurance
2021-05-23,Machhapuchhre Bank Limited,MBL,1371,351.0,326.0,350.0,450713.0,153511385.0,333.0,17.0,Commercial Banks
2021-05-23,Mahalaxmi Bikas Bank Ltd.,MLBL,1103,342.0,299.0,342.0,266181.0,86752412.0,311.0,31.0,Development Banks
2021-05-23,Mahila Lagubitta Bittiya Sanstha Limited,MLBSL,268,4618.0,4525.0,4590.0,4561.0,20951809.0,4615.0,-25.0,Microfinance
2021-05-23,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,MSLB,45,2340.0,2242.0,2320.0,4259.0,9872829.0,2315.0,5.0,Microfinance
2021-05-23,Manjushree Finance Ltd.,MFIL,1858,653.0,567.0,646.0,270715.0,170386152.0,594.0,52.0,Finance
2021-05-23,Mega Bank Nepal Ltd.,MEGA,2255,338.0,314.0,336.0,683092.0,224782805.0,324.0,12.0,Commercial Banks
2021-05-23,Mero Microfinance Bittiya Sanstha Ltd.,MERO,195,1809.0,1770.0,1799.0,11285.0,20231103.0,1812.0,-13.0,Microfinance
2021-05-23,Mirmire Microfinance Development Bank Ltd.,MMFDB,99,1773.0,1731.0,1765.0,8687.0,15261877.0,1773.0,-8.0,Microfinance
2021-05-23,Miteri Development Bank Limited,MDB,709,514.0,452.0,499.0,167492.0,81829781.0,468.0,31.0,Development Banks
2021-05-23,Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,218,2510.0,2385.0,2500.0,14147.0,34835681.0,2480.0,20.0,Microfinance
2021-05-23,Mountain Energy Nepal Limited,MEN,352,837.0,808.0,830.0,12830.0,10560720.0,824.0,6.0,Hydro Power
2021-05-23,Mountain Hydro Nepal Limited,MHNL,280,316.0,284.0,314.0,45973.0,13889773.0,290.0,24.0,Hydro Power
2021-05-23,Muktinath Bikas Bank Ltd.,MNBBL,1873,502.0,444.0,496.0,395201.0,190639519.0,461.0,35.0,Development Banks
2021-05-23,Muktinath Bikas Bank Ltd. Promoter Share,,1,220.0,220.0,220.0,20000.0,4400000.0,220.0,0.0,
2021-05-23,Multipurpose Finance Company Limited,MPFL,459,324.0,281.0,322.0,128804.0,39655413.0,297.0,25.0,Finance
2021-05-23,NABIL BALANCED FUND-2,NBF2,48,12.15,11.8,12.15,132300.0,1602666.0,12.0,0.15,Mutual Fund
2021-05-23,Nabil Bank Limited,NABIL,1095,1313.0,1275.0,1312.0,107284.0,139688703.0,1300.0,12.0,Commercial Banks
2021-05-23,Nabil Equity Fund,NEF,28,12.85,12.7,12.85,162444.0,2078415.58,12.77,0.08,Mutual Fund
2021-05-23,Narayani Development Bank Limited,NABBC,330,693.0,621.0,685.0,42750.0,28585393.0,630.0,55.0,Development Banks
2021-05-23,National Hydro Power Company Limited,NHPC,2163,209.0,189.0,205.0,689849.0,139365024.0,203.0,2.0,Hydro Power
2021-05-23,National Life Insurance Co. Ltd.,NLICL,1598,1308.0,1251.0,1295.0,288287.0,371400412.0,1289.0,6.0,Life Insurance
2021-05-23,National Microfinance Bittiya Sanstha Ltd.,NMFBS,108,3800.0,3705.0,3750.0,7009.0,26095127.0,3726.0,24.0,Microfinance
2021-05-23,Neco Insurance Co. Ltd.,NIL,658,1715.0,1650.0,1707.0,60355.0,101922156.0,1682.0,25.0,Non Life Insurance
2021-05-23,Nepal Bangladesh Bank Limited,NBB,856,391.0,375.0,391.0,243025.0,93762549.0,385.0,6.0,Commercial Banks
2021-05-23,Nepal Bank Limited,NBL,899,443.0,425.0,443.0,208441.0,91394401.0,437.0,6.0,Commercial Banks
2021-05-23,Nepal Credit And Commercial Bank Limited,NCCB,597,370.0,363.0,369.0,282816.0,103260454.0,365.0,4.0,Commercial Banks
2021-05-23,Nepal Doorsanchar Comapany Limited,NTC,434,1401.0,1325.0,1390.0,68916.0,95932434.0,1394.0,-4.0,Others
2021-05-23,Nepal Finance Ltd.,NFS,478,444.0,408.0,433.0,89795.0,39117469.0,439.0,-6.0,Finance
2021-05-23,Nepal Hydro Developers Ltd.,NHDL,142,423.0,378.0,410.0,17210.0,6959534.0,385.0,25.0,Hydro Power
2021-05-23,Nepal Infrastructure Bank Limited,NIFRA,3303,543.0,529.0,538.0,362473.0,194864909.0,537.0,1.0,Others
2021-05-23,Nepal Insurance Co. Ltd.,NICL,270,859.0,805.0,813.0,43266.0,35264692.0,819.0,-6.0,Non Life Insurance
2021-05-23,Nepal Life Insurance Co. Ltd.,NLIC,751,2130.0,2066.0,2109.0,46350.0,97589188.0,2118.0,-9.0,Life Insurance
2021-05-23,Nepal Lube Oil Limited,NLO,1,301.0,301.0,301.0,10.0,3010.0,287.0,14.0,Manufacturing And Processing
2021-05-23,Nepal Reinsurance Company Limited,NRIC,2117,1679.0,1590.0,1678.0,252545.0,418644743.0,1650.0,28.0,Others
2021-05-23,Nepal SBI Bank Limited,SBI,278,417.0,402.0,417.0,43845.0,18122224.0,414.0,3.0,Commercial Banks
2021-05-23,Nerude Laghubita Bikas Bank Limited,NLBBL,171,1855.0,1775.0,1832.0,14122.0,25751498.0,1810.0,22.0,Microfinance
2021-05-23,Ngadi Group Power Ltd.,NGPL,340,340.0,315.0,338.0,67321.0,22400311.0,325.0,13.0,Hydro Power
2021-05-23,NIBL Pragati Fund,NIBLPF,23,13.0,12.79,13.0,61161.0,792582.91,12.91,0.09,Mutual Fund
2021-05-23,NIBL Samriddhi Fund 1,NIBSF1,5,14.21,13.95,13.95,15100.0,211071.0,13.99,-0.04,Mutual Fund
2021-05-23,NIC Asia Balanced Fund,NICBF,23,12.2,11.86,12.08,43600.0,529744.0,11.97,0.11,Mutual Fund
2021-05-23,NIC Asia Bank Ltd.,NICA,800,948.0,895.0,948.0,160448.0,145256184.0,906.0,42.0,Commercial Banks
2021-05-23,NIC Asia Growth Fund,NICGF,40,13.11,12.89,13.1,123750.0,1612474.0,12.99,0.11,Mutual Fund
2021-05-23,NIC ASIA Laghubitta Bittiya Sanstha Limited,NICLBSL,988,1793.0,1750.0,1780.0,33784.0,60100764.0,1783.0,-3.0,Microfinance
