,Stock Name,Stock Symbol,Sector
101,Himalayan Power Partner Ltd.,HPPL,Hydro Power
102,Hydorelectricity Investment and Development Company Ltd,HIDCL,Others
103,ICFC Finance Limited,ICFC,Finance
104,IME General Insurance Ltd.,IGI,Non Life Insurance
105,Infinity Laghubitta Bittiya Sanstha Limited,ILBS,Microfinance
106,Janaki Finance Ltd.,JFL,Finance
107,Janata Bank Nepal Ltd.,JBNL,Commercial Banks
108,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,JSLBB,Microfinance
109,Jebils Finance Ltd.,JEFL,Finance
110,Joshi Hydropower Development Company Ltd,JOSHI,Hydro Power
111,Jyoti Bikas Bank Limited,JBBL,Development Banks
112,Jyoti Life Insurance Ltd,JLI,Life Insurance
113,Jyoti Sinning Mills Limited,JSM,Manufacturing And Processing
114,Kabeli Bikas Bank Limited,KEBL,Development Banks
115,Kalika Microcredit Development Bank Ltd.,KMCDB,Microfinance
116,Kalika power Company Ltd,KPCL,Hydro Power
117,Kamana Sewa Bikas Bank Limited,KSBBL,Development Banks
118,Kanchan Development Bank Limited,KADBL,Development Banks
119,Kankai Bikas Bank Ltd.,KNBL,Development Banks
120,Karnali Development Bank Limited,KRBL,Development Banks
121,Khanikhola Hydropower Co. Ltd.,KKHC,Hydro Power
122,Kisan Lagubitta Bittiya Sanstha Limited,KLBSL,Microfinance
123,Kumari Bank Limited,KBL,Commercial Banks
124,Kumari Equity Fund,KEF,Mutual Fund
125,Lalitpur Finance Ltd.,LFC,Finance
126,Laxmi Bank Limited,LBL,Commercial Banks
127,Laxmi Equity Fund,LEMF,Mutual Fund
128,Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,Microfinance
129,Laxmi Unnati Kosh,LUK,Mutual Fund
130,Liberty Energy Company Limited,LEC,Hydro Power
131,Life Insurance Co. Nepal,LICN,Life Insurance
132,Lumbini Bikas Bank Ltd.,LBBL,Development Banks
133,Lumbini General Insurance Co. Ltd.,LGIL,Non Life Insurance
134,Machhapuchhre Bank Limited,MBL,Commercial Banks
135,Mahalaxmi Bikas Bank Ltd.,MLBL,Development Banks
136,Mahila Lagubitta Bittiya Sanstha Limited,MLBSL,Microfinance
137,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,MSMBS,Microfinance
138,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,MSLB,Microfinance
139,Manjushree Finance Ltd.,MFIL,Finance
140,Mega Bank Nepal Ltd.,MEGA,Commercial Banks
141,Mero Microfinance Bittiya Sanstha Ltd.,MERO,Microfinance
142,Mirmire Microfinance Development Bank Ltd.,MMFDB,Microfinance
143,Miteri Development Bank Limited,MDB,Development Banks
144,Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,Microfinance
145,Mountain Energy Nepal Limited,MEN,Hydro Power
146,Mountain Hydro Nepal Limited,MHNL,Hydro Power
